75992	3	6.45	1	1
75991	6	12.9	1	1
75990	9	19.35	1	1
75989	12	21.5	1	1
75996	3	6.45	1	2
75995	6	12.9	1	2
75994	9	19.35	1	2
75993	12	21.5	1	2
76000	3	6.45	1	3
75999	6	12.9	1	3
75998	9	19.35	1	3
75997	12	21.5	1	3
76004	3	6.45	1	4
76003	6	12.9	1	4
76002	9	19.35	1	4
76001	12	21.5	1	4
76008	3	6.45	1	5
76007	6	12.9	1	5
76006	9	19.35	1	5
76005	12	21.5	1	5
76012	3	6.45	1	6
76011	6	12.9	1	6
76010	9	19.35	1	6
76009	12	21.5	1	6
76016	3	6.45	1	7
76015	6	12.9	1	7
76014	9	19.35	1	7
76013	12	21.5	1	7
76020	3	6.45	1	8
76019	6	12.9	1	8
76018	9	19.35	1	8
76017	12	21.5	1	8
76024	3	6.45	1	9
76023	6	12.9	1	9
76022	9	19.35	1	9
76021	12	21.5	1	9
76028	3	6.45	1	10
76027	6	12.9	1	10
76026	9	19.35	1	10
76025	12	21.5	1	10
76032	3	6.45	1	11
76031	6	12.9	1	11
76030	9	19.35	1	11
76029	12	21.5	1	11
76036	3	6.45	1	12
76035	6	12.9	1	12
76034	9	19.35	1	12
76033	12	21.5	1	12
76040	3	6.45	1	13
76039	6	12.9	1	13
76038	9	19.35	1	13
76037	12	21.5	1	13
76044	3	6.45	1	14
76043	6	12.9	1	14
76042	9	19.35	1	14
76041	12	21.5	1	14
76048	3	6.45	1	15
76047	6	12.9	1	15
76046	9	19.35	1	15
76045	12	21.5	1	15
76052	3	6.45	1	16
76051	6	12.9	1	16
76050	9	19.35	1	16
76049	12	21.5	1	16
76056	3	6.45	1	17
76055	6	12.9	1	17
76054	9	19.35	1	17
76053	12	21.5	1	17
76060	3	6.45	1	18
76059	6	12.9	1	18
76058	9	19.35	1	18
76057	12	21.5	1	18
76064	3	6.45	1	19
76063	6	12.9	1	19
76062	9	19.35	1	19
76061	12	21.5	1	19
76068	3	6.45	1	20
76067	6	12.9	1	20
76066	9	19.35	1	20
76065	12	21.5	1	20
76072	3	6.45	1	21
76071	6	12.9	1	21
76070	9	19.35	1	21
76069	12	21.5	1	21
76076	3	6.45	1	22
76075	6	12.9	1	22
76074	9	19.35	1	22
76073	12	21.5	1	22
76080	3	6.45	1	23
76079	6	12.9	1	23
76078	9	19.35	1	23
76077	12	21.5	1	23
76084	3	6.45	1	24
76083	6	12.9	1	24
76082	9	19.35	1	24
76081	12	21.5	1	24
76088	3	6.45	1	25
76087	6	12.9	1	25
76086	9	19.35	1	25
76085	12	21.5	1	25
76092	3	6.45	1	26
76091	6	12.9	1	26
76090	9	19.35	1	26
76089	12	21.5	1	26
76096	3	6.45	1	27
76095	6	12.9	1	27
76094	9	19.35	1	27
76093	12	21.5	1	27
76100	3	6.45	1	28
76099	6	12.9	1	28
76098	9	19.35	1	28
76097	12	21.5	1	28
76104	3	6.45	1	29
76103	6	12.9	1	29
76102	9	19.35	1	29
76101	12	21.5	1	29
76108	3	6.45	1	30
76107	6	12.9	1	30
76106	9	19.35	1	30
76105	12	21.5	1	30
76112	3	6.45	1	31
76111	6	12.9	1	31
76110	9	19.35	1	31
76109	12	21.5	1	31
76116	3	6.45	1	32
76115	6	12.9	1	32
76114	9	19.35	1	32
76113	12	21.5	1	32
76120	3	6.45	1	33
76119	6	12.9	1	33
76118	9	19.35	1	33
76117	12	21.5	1	33
76124	3	6.45	1	34
76123	6	12.9	1	34
76122	9	19.35	1	34
76121	12	21.5	1	34
76128	3	6.45	1	35
76127	6	12.9	1	35
76126	9	19.35	1	35
76125	12	21.5	1	35
76132	3	6.45	1	36
76131	6	12.9	1	36
76130	9	19.35	1	36
76129	12	21.5	1	36
76136	3	6.45	1	37
76135	6	12.9	1	37
76134	9	19.35	1	37
76133	12	21.5	1	37
76140	3	6.45	1	38
76139	6	12.9	1	38
76138	9	19.35	1	38
76137	12	21.5	1	38
76144	3	6.45	1	39
76143	6	12.9	1	39
76142	9	19.35	1	39
76141	12	21.5	1	39
76148	3	6.45	1	40
76147	6	12.9	1	40
76146	9	19.35	1	40
76145	12	21.5	1	40
76152	3	6.45	1	41
76151	6	12.9	1	41
76150	9	19.35	1	41
76149	12	21.5	1	41
76156	3	6.45	1	42
76155	6	12.9	1	42
76154	9	19.35	1	42
76153	12	21.5	1	42
76160	3	6.45	1	43
76159	6	12.9	1	43
76158	9	19.35	1	43
76157	12	21.5	1	43
76164	3	6.45	1	44
76163	6	12.9	1	44
76162	9	19.35	1	44
76161	12	21.5	1	44
76168	3	6.45	1	45
76167	6	12.9	1	45
76166	9	19.35	1	45
76165	12	21.5	1	45
76172	3	6.45	1	46
76171	6	12.9	1	46
76170	9	19.35	1	46
76169	12	21.5	1	46
76176	3	6.45	1	47
76175	6	12.9	1	47
76174	9	19.35	1	47
76173	12	21.5	1	47
76184	3	6.45	1	48
76183	6	12.9	1	48
76182	9	19.35	1	48
76181	12	21.5	1	48
76188	3	6.45	1	49
76187	6	12.9	1	49
76186	9	19.35	1	49
76185	12	21.5	1	49
76192	3	6.45	1	50
76191	6	12.9	1	50
76190	9	19.35	1	50
76189	12	21.5	1	50
76196	3	6.45	1	51
76195	6	12.9	1	51
76194	9	19.35	1	51
76193	12	21.5	1	51
76200	3	6.45	1	52
76199	6	12.9	1	52
76198	9	19.35	1	52
76197	12	21.5	1	52
76208	3	6.45	1	53
76207	6	12.9	1	53
76206	9	19.35	1	53
76205	12	21.5	1	53
76212	3	6.45	1	54
76211	6	12.9	1	54
76210	9	19.35	1	54
76209	12	21.5	1	54
76216	3	6.45	1	55
76215	6	12.9	1	55
76214	9	19.35	1	55
76213	12	21.5	1	55
76220	3	6.45	1	56
76219	6	12.9	1	56
76218	9	19.35	1	56
76217	12	21.5	1	56
76224	3	6.45	1	57
76223	6	12.9	1	57
76222	9	19.35	1	57
76221	12	21.5	1	57
76228	3	6.45	1	58
76227	6	12.9	1	58
